horario,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
13:02:37,9.2,26.2,14536704,119145658,158659919,1671627757,6
13:04:12,9.1,26.2,16457728,136901630,182874721,1671627852,6
13:06:12,9.3,26.2,19021824,159896199,214203165,1671627972,6
13:08:32,9.4,26.2,21848064,187211016,251958080,1671628112,7
13:13:57,9.4,26.2,28884992,254621209,344975182,1671628437,8
13:21:08,9.5,26.2,39981056,365258615,499010405,1671628868,9
12:58:22,8.9,26.1,10276864,81335001,107311038,1671627502,5
13:07:57,9.2,26.1,21078016,179793133,241709949,1671628077,7
13:10:17,9.2,26.1,24145920,209023011,281949472,1671628217,7
13:13:17,9.4,26.1,27992064,244517087,330592642,1671628397,8
13:36:00,7.6,26.1,50495488,653510705,900068819,1671629760,11
13:07:08,8.3,26,20299776,171249253,229580870,1671628028,6
13:07:17,9.2,26,20312064,171273337,229606641,1671628037,7
12:50:27,8.3,25.9,3784704,27367115,35136486,1671627027,3
12:55:52,8.4,25.9,7950336,60795482,79509586,1671627352,4
12:58:52,8.8,25.9,10797056,85770387,113285954,1671627532,5
12:53:42,8.4,25.8,6012928,45250616,58914683,1671627222,4
12:56:47,8.8,25.8,8736768,67050727,87766321,1671627407,5
12:57:52,8.8,25.8,9764864,76820953,101208849,1671627472,5
12:59:22,9.0,25.8,11309056,90204293,119287425,1671627562,5
13:00:22,8.8,25.8,12337152,99020872,131150624,1671627622,5
13:00:52,8.8,25.8,12853248,103424135,137055712,1671627652,5
13:04:42,9.0,25.8,17096704,142688163,190733796,1671627882,6
12:48:47,8.2,25.7,2736128,19416836,24716127,1671626927,3
12:55:02,8.4,25.7,7180288,54592008,71299601,1671627302,4
12:56:17,8.5,25.7,8343552,63919811,83635274,1671627377,4
12:59:52,8.8,25.7,11821056,94649221,125259684,1671627592,5
12:44:02,7.9,25.6,950272,6170511,7724675,1671626642,2
12:50:02,8.3,25.6,3522560,25393167,32540707,1671627002,3
12:52:43,8.3,25.6,5234688,38773841,50231078,1671627163,4
12:55:27,8.4,25.6,7561216,57683641,75396320,1671627327,4
12:57:22,8.7,25.6,9248768,72181970,94894551,1671627442,5
13:13:18,9.4,25.6,28000256,244536420,330606784,1671628398,8
12:46:32,7.9,25.5,1785856,12156976,15261463,1671626792,2
12:49:12,8.2,25.5,2998272,21444358,27387014,1671626952,3
12:50:52,8.3,25.5,4050944,29318803,37675664,1671627052,3
12:51:17,8.3,25.5,4308992,31278695,40234734,1671627077,3
13:01:22,8.7,25.5,13369344,107799165,142922711,1671627682,5
13:01:58,8.9,25.5,13893632,112314113,149003082,1671627718,6
12:52:13,8.3,25.4,4841472,35210748,45345623,1671627133,4
12:53:12,8.3,25.4,5619712,42083975,54672493,1671627192,4
12:54:37,8.3,25.4,6787072,51496940,67198509,1671627277,4
13:10:16,8.5,25.4,24145920,209021437,281948125,1671628216,7
13:29:37,8.6,25.4,55107584,518921172,713068469,1671629377,10
13:35:25,7.4,25.4,49229824,640651974,882193359,1671629725,11
12:41:52,7.6,25.3,503808,3126546,3891357,1671626512,1
12:44:27,7.9,25.3,1085440,7161105,8975753,1671626667,2
12:45:42,7.9,25.3,1507328,10160467,12748723,1671626742,2
12:46:07,7.9,25.3,1646592,11157192,14004441,1671626767,2
12:48:22,8.1,25.3,2465792,17297467,21899796,1671626902,3
12:49:37,8.2,25.3,3256320,23439836,29989276,1671626977,3
12:54:12,8.4,25.3,6402048,48401358,63096078,1671627252,4
12:40:12,7.5,25.2,200704,1061474,1312622,1671626412,1
12:46:57,7.9,25.2,1921024,13154834,16517524,1671626817,2
12:51:42,8.3,25.2,4575232,33252361,42800844,1671627102,3
12:40:37,7.6,25.1,274432,1580354,1959446,1671626437,1
12:41:02,7.6,25.1,356352,2098292,2605772,1671626462,1
12:42:17,7.6,25.1,577536,3641020,4537544,1671626537,1
12:44:52,7.9,25.1,1232896,8166877,10239834,1671626692,2
12:45:17,7.9,25.1,1372160,9161570,11492019,1671626717,2
12:47:22,7.9,25.1,2056192,14139890,17759911,1671626842,2
13:01:23,8.9,25.1,13373440,107812945,142933268,1671627683,5
13:30:48,9.6,25.1,57401344,541671579,744725201,1671629448,10
12:39:47,7.5,25,126976,541078,664796,1671626387,1
12:47:52,7.9,25,2207744,15160029,19039676,1671626872,3
13:33:40,7.4,24.9,45424640,601723578,828068291,1671629620,11
13:36:35,7.6,24.9,51761152,666327406,917907942,1671629795,11
12:39:22,7.5,24.8,49152,33742,27132,1671626362,1
12:41:27,7.6,24.8,430080,2615281,3251752,1671626487,1
12:43:38,7.9,24.8,811008,5179645,6473320,1671626618,2
13:10:52,8.5,24.8,24915968,216132553,291706172,1671628252,7
13:11:28,9.3,24.8,25690112,223297841,301552528,1671628288,7
13:34:50,7.3,24.7,47964160,627702623,864158532,1671629690,11
13:37:10,7.5,24.6,53030912,679229898,935783708,1671629830,11
13:34:15,7.4,24.5,46690304,614700457,846111912,1671629655,11
13:25:08,8.7,24.2,47099904,435757330,596716435,1671629108,9
12:53:13,8.3,24.1,5627904,42099608,54684096,1671627193,4
13:02:38,8.9,24.1,14544896,119179121,158684384,1671627758,6
12:43:06,7.6,24,724992,4654009,5810990,1671626586,2
12:42:42,7.6,23.9,655360,4152661,5178232,1671626562,2
13:37:15,7.5,23.7,53153792,681725483,939883484,1671629835,11
13:19:57,8.4,23.5,37945344,344841599,470474728,1671628797,9
