,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
601,18,19,5.6,38.7,9068544,7946456,15901552,1671645619,11
602,218,219,5.9,38.7,96309248,79038852,157179519,1671645819,11
603,91,92,5.8,38.5,37969920,31459207,62568917,1671645692,11
604,193,194,5.9,38.2,21258240,69987951,139249247,1671645794,11
605,196,197,5.9,38.1,27176960,74691086,148789849,1671645797,11
606,248,249,5.9,38.0,116637696,95476639,190113110,1671645849,11
607,16,17,5.5,37.8,5832704,4734285,9313388,1671645617,11
608,144,145,5.7,37.7,65515520,53694702,107013555,1671645745,11
609,94,95,5.8,36.9,43925504,36144314,72085325,1671645695,11
610,17,18,5.6,36.6,7000064,6349042,12593218,1671645618,11
611,195,196,5.9,36.6,25190400,73085248,145531488,1671645796,11
612,43,44,5.7,36.5,20107264,16827209,33576117,1671645644,11
613,222,223,5.9,36.5,104210432,85323542,169903037,1671645823,11
614,142,143,5.7,36.4,61472768,50526314,100554227,1671645743,11
615,171,172,5.8,36.4,80166912,65645170,130859864,1671645772,11
616,15,16,5.5,36.2,3665920,3111827,5932115,1671645616,11
617,119,120,5.7,36.2,54808576,45030322,89740130,1671645720,11
618,220,221,5.9,36.2,100257792,82174063,163533975,1671645821,11
619,69,70,5.8,35.9,32980992,27210460,54365264,1671645670,11
620,197,198,5.9,35.8,93212672,76267348,151973391,1671645798,11
621,219,220,5.9,35.8,98287616,80632112,160375981,1671645820,11
622,44,45,5.7,35.6,22028288,18354859,36676430,1671645645,11
623,145,146,5.8,35.6,67387392,55221258,110099367,1671645746,11
624,95,96,5.8,35.4,45867008,37692803,75195939,1671645696,11
625,41,42,5.7,35.3,16113664,13687838,27239731,1671645642,11
626,117,118,5.7,35.3,50819072,41908898,83405378,1671645718,11
627,146,147,5.8,35.3,69459968,56821962,113354890,1671645747,11
628,170,171,5.8,35.3,78196736,64030218,127592213,1671645771,11
629,221,222,5.9,35.3,102232064,83755986,166724187,1671645822,11
630,66,67,5.7,35.2,27066368,22571076,44918807,1671645667,11
631,118,119,5.7,35.2,52793344,43447547,86510091,1671645719,11
632,143,144,5.7,35.1,63533056,52128266,103833368,1671645744,11
633,167,168,5.8,35.0,72241152,59349988,118076639,1671645768,11
634,169,170,5.8,35.0,76230656,62493422,124447432,1671645770,11
635,244,245,5.9,34.9,108707840,89226479,177372249,1671645845,11
636,92,93,5.8,34.7,39940096,33021504,65740535,1671645693,11
637,168,169,5.8,34.7,74256384,60911289,121247231,1671645769,11
638,172,173,5.8,34.6,82145280,67157913,133937989,1671645773,11
639,246,247,5.9,34.5,112648192,92361593,183771641,1671645847,11
640,40,41,5.7,34.1,14090240,12095266,23964355,1671645641,11
641,68,69,5.7,34.0,30957568,25638445,51131226,1671645669,11
642,245,246,5.9,33.7,110637056,90773587,180525969,1671645846,11
643,0,1,5.4,33.3,0,0,0,1671645601,11
644,93,94,5.8,33.3,41951232,34591140,68916063,1671645694,11
645,247,248,5.9,32.8,114573312,93896551,186877548,1671645848,11
646,120,121,5.7,32.5,56680448,46511563,92759908,1671645721,11
647,65,66,5.7,32.0,24989696,20953632,41571725,1671645666,11
648,223,224,5.9,32.0,105930752,86658233,172645416,1671645824,11
649,116,117,5.7,31.5,48844800,40356141,80196272,1671645717,11
650,67,68,5.7,31.2,28987392,24083327,47941068,1671645668,11
651,14,15,5.4,30.8,1736704,1631730,2916969,1671645615,11
652,42,43,5.7,30.3,18042880,15223291,30338260,1671645643,11
653,19,20,5.6,30.0,10842112,9248928,18598020,1671645620,11
654,70,71,5.8,27.8,34603008,28463580,56895915,1671645671,11
655,121,122,5.7,27.3,58355712,47800169,95401252,1671645722,11
656,90,91,5.8,25.0,35987456,29893598,59387332,1671645691,11
657,249,250,5.9,23.4,117825536,96407681,192007273,1671645850,11
658,39,40,5.7,23.1,12120064,10593029,20913939,1671645640,11
659,141,142,5.7,22.0,59457536,49041450,97467559,1671645742,11
