,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
210,40,41,28.0,29.3,4444160,1370641,5398839,1670768441,4
211,247,248,28.2,29.3,-30846976,9616941,39567055,1670768648,4
212,17,18,28.1,29.2,2510848,724942,2981093,1670768418,4
213,41,42,27.9,29.2,5001216,1502577,5991748,1670768442,4
214,218,219,28.0,29.0,-36159488,8165021,33297958,1670768619,4
215,246,247,28.1,29.0,-31399936,9479760,38924174,1670768647,4
216,42,43,28.0,28.9,5599232,1634934,6674074,1670768443,4
217,69,70,28.3,28.9,9805824,2816578,11666244,1670768470,4
218,117,118,28.5,28.9,14893056,4385206,17804433,1670768518,4
219,171,172,28.1,28.9,-40693760,6740178,27792331,1670768572,4
220,116,117,28.5,28.6,14336000,4254305,17164951,1670768517,4
221,192,193,28.1,28.6,-39809024,7117406,28940955,1670768593,4
222,193,194,28.0,28.6,-39247872,7251349,29582170,1670768594,4
223,197,198,27.9,28.6,-37031936,7775900,32137961,1670768598,4
224,142,143,28.6,28.4,-46030848,5303095,21520786,1670768543,4
225,92,93,28.4,28.3,11792384,3462012,14086523,1670768493,4
226,39,40,28.0,28.1,3895296,1232959,4756834,1670768440,4
227,195,196,27.9,27.8,-38146048,7514936,30862532,1670768596,4
228,220,221,28.0,27.8,-35053568,8432446,34579635,1670768621,4
229,93,94,28.3,27.4,12349440,3596877,14729271,1670768494,4
230,67,68,28.2,27.1,8650752,2545876,10383512,1670768468,4
231,145,146,28.5,27.1,-44363776,5709129,23447006,1670768546,4
232,196,197,27.9,26.8,-37584896,7647406,31503674,1670768597,4
233,244,245,28.1,26.3,-32505856,9208419,37642854,1670768645,4
234,169,170,28.2,26.0,-41807872,6478672,26511024,1670768570,4
235,90,91,28.4,25.3,10682368,3187691,12805764,1670768491,4
236,115,116,28.6,20.0,13778944,4115660,16522986,1670768516,4
237,217,218,28.0,19.8,-36716544,8031716,32658184,1670768618,4
238,172,173,28.1,17.8,-40402944,6807607,28113435,1670768573,4
239,166,167,28.4,16.5,-43470848,6081081,24586036,1670768567,4
240,14,15,28.2,41.8,1855488,548563,2222782,1670769015,5
241,119,120,28.8,41.4,21925888,5868434,25867834,1670769121,5
242,68,69,28.5,41.0,12959744,3469975,15326133,1670769069,5
243,168,169,28.2,40.6,29413376,7921246,34755478,1670769170,5
244,246,247,28.7,40.6,43900928,11827293,51882702,1670769248,5
245,16,17,28.1,40.2,3330048,889471,3929173,1670769017,5
246,244,245,28.7,40.2,42414080,11470953,50127978,1670769246,5
247,167,168,28.3,39.8,28672000,7754308,33903060,1670769169,5
248,65,66,28.3,38.8,10735616,2948374,12723873,1670769066,5
249,66,67,28.3,38.8,11468800,3123176,13616855,1670769067,5
250,91,92,28.6,38.8,15593472,4234628,18441439,1670769092,5
251,194,195,28.2,38.8,34181120,9216448,40390691,1670769196,5
252,40,41,28.2,38.4,6615040,1834181,7897065,1670769041,5
253,17,18,28.0,38.1,4071424,1066480,4779342,1670769018,5
254,169,170,28.2,38.1,30158848,8091482,35606437,1670769171,5
255,43,44,28.2,38.0,8880128,2356274,10467220,1670769044,5
256,64,65,28.3,37.9,9990144,2781084,11865112,1670769065,5
257,118,119,28.9,37.9,21188608,5692697,25014473,1670769120,5
258,117,118,28.9,37.8,20439040,5518210,24160541,1670769119,5
259,142,143,28.6,37.8,24559616,6645277,29039022,1670769144,5
260,219,220,28.4,37.8,38297600,10340504,45306599,1670769221,5
261,67,68,28.3,37.5,12218368,3302475,14478041,1670769068,5
262,221,222,28.5,37.5,39784448,10687199,47006918,1670769223,5
263,192,193,28.1,37.4,32702464,8864014,38686054,1670769194,5
264,15,16,28.2,37.1,2588672,723789,3077845,1670769016,5
265,217,218,28.3,37.1,36818944,9984922,43585474,1670769219,5
266,243,244,28.5,37.1,41668608,11294862,49276744,1670769245,5
267,92,93,28.7,37.0,16330752,4404450,19293612,1670769093,5
268,13,14,28.3,36.8,1064960,374147,1372331,1670769014,5
269,166,167,28.3,36.8,27938816,7585485,33049780,1670769168,5
270,41,42,28.2,36.6,7360512,2005354,8748076,1670769042,5
271,89,90,28.6,36.6,14110720,3886761,16736888,1670769090,5
272,116,117,28.8,36.5,19701760,5351202,23312673,1670769118,5
273,144,145,28.5,36.5,26034176,6995028,30745353,1670769146,5
274,170,171,28.1,36.5,30900224,8262565,36459287,1670769172,5
275,143,144,28.6,36.4,25292800,6822027,29894584,1670769145,5
276,218,219,28.3,36.4,37560320,10161294,44452010,1670769220,5
277,247,248,28.7,36.4,44638208,12005528,52736353,1670769249,5
278,115,116,28.8,36.3,18960384,5184583,22462065,1670769117,5
279,93,94,28.8,36.1,17072128,4574282,20145240,1670769094,5
280,141,142,28.7,36.0,23818240,6473763,28185918,1670769143,5
281,38,39,28.1,35.7,5132288,1497741,6195032,1670769039,5
282,42,43,28.2,35.4,8097792,2181896,9601032,1670769043,5
283,193,194,28.0,35.4,33447936,9037543,39537640,1670769195,5
284,196,197,28.2,35.4,35659776,9552292,42090408,1670769198,5
285,245,246,28.7,35.4,43159552,11644957,51020628,1670769247,5
286,90,91,28.6,35.1,14852096,4059969,17589710,1670769091,5
287,195,196,28.2,34.7,34926592,9386097,41243264,1670769197,5
288,94,95,28.8,34.4,17817600,4750332,20998518,1670769095,5
289,242,243,28.5,34.3,40931328,11112067,48417607,1670769244,5
290,145,146,28.4,33.7,26787840,7164494,31594809,1670769147,5
291,39,40,28.2,32.6,5881856,1664692,7046703,1670769040,5
292,140,141,28.7,31.9,23076864,6304578,27336000,1670769142,5
293,220,221,28.4,31.6,39043072,10515362,46156254,1670769222,5
294,191,192,28.1,30.2,31969280,8693632,37834866,1670769193,5
295,171,172,28.1,27.5,31367168,8375723,36994914,1670769173,5
296,222,223,28.5,27.0,40333312,10804615,47590762,1670769224,5
297,120,121,28.8,25.5,22388736,5974060,26397814,1670769122,5
298,69,70,28.6,22.4,13414400,3562461,15805054,1670769070,5
299,63,64,28.3,18.4,9248768,2608116,11015484,1670769064,5
300,0,1,28.7,100.0,0,0,0,1670769601,6
301,14,15,28.6,52.9,1290240,410995,1585989,1670769615,6
302,91,92,28.8,51.5,18317312,4660985,21531154,1670769692,6
303,119,120,28.2,51.0,26222592,6568910,30774616,1670769720,6
304,68,69,29.0,50.5,15175680,3818661,17797128,1670769669,6
305,40,41,28.7,50.0,7299072,1909352,8672429,1670769641,6
306,15,16,28.6,49.5,2220032,619623,2650580,1670769616,6
307,92,93,28.7,49.5,19243008,4864109,22596829,1670769693,6
308,116,117,28.4,49.5,23441408,5954984,27568594,1670769717,6
309,168,169,28.7,49.0,35528704,8988973,41762643,1670769769,6
310,248,249,29.9,49.0,55558144,13995623,65195656,1670769849,6
311,17,18,28.4,48.5,4071424,1029297,4777917,1670769618,6
312,95,96,28.5,48.5,22016000,5474195,25804606,1670769696,6
313,167,168,28.6,48.5,34603008,8779716,40697225,1670769768,6
314,93,94,28.6,48.0,20164608,5065916,23660410,1670769694,6
315,120,121,28.3,48.0,27107328,6772559,31827198,1670769721,6
316,170,171,28.8,48.0,37380096,9409178,43888311,1670769771,6
317,69,70,28.9,47.9,16089088,4021077,18903819,1670769670,6
318,94,95,28.5,47.5,21098496,5264965,24765257,1670769695,6
319,197,198,29.1,47.5,44404736,11148543,52084392,1670769798,6
320,219,220,29.2,47.5,46723072,11842607,54897112,1670769820,6
321,42,43,28.7,47.4,9154560,2313423,10793827,1670769643,6
322,16,17,28.5,47.1,3153920,822496,3712465,1670769617,6
323,244,245,29.5,47.0,51859456,13155534,60932028,1670769845,6
324,247,248,29.7,47.0,54632448,13783388,64086195,1670769848,6
325,18,19,28.5,46.9,5001216,1234304,5838791,1670769619,6
326,195,196,29.0,46.9,42557440,10730528,49923782,1670769796,6
327,193,194,28.9,46.5,40701952,10314616,47797960,1670769794,6
328,221,222,29.3,46.5,48611328,12256036,57026574,1670769822,6
329,43,44,28.7,46.0,10084352,2519563,11857819,1670769644,6
330,145,146,28.5,46.0,32325632,8089678,37908082,1670769746,6
331,146,147,28.5,45.9,33255424,8297538,38970054,1670769747,6
332,143,144,28.3,45.5,30478336,7679753,35782482,1670769744,6
333,66,67,28.9,45.4,13316096,3409092,15707326,1670769667,6
334,67,68,29.0,45.4,14241792,3614686,16776084,1670769668,6
335,171,172,28.8,45.4,38301696,9619582,44954079,1670769772,6
336,118,119,28.2,45.3,25251840,6361255,29651367,1670769719,6
337,44,45,28.9,45.2,11010048,2729670,12924079,1670769645,6
338,65,66,28.9,44.9,12394496,3193117,14599482,1670769666,6
339,144,145,28.5,44.9,31358976,7888153,36848134,1670769745,6
340,169,170,28.7,44.9,36450304,9194370,42781118,1670769770,6
341,194,195,29.0,44.9,41582592,10519932,48857898,1670769795,6
342,218,219,29.1,44.8,45797376,11636239,53832918,1670769819,6
343,117,118,28.3,44.3,24322048,6160960,28633108,1670769718,6
344,220,221,29.3,44.3,47685632,12050863,56007365,1670769821,6
345,245,246,29.8,44.2,52785152,13361700,61949867,1670769846,6
346,222,223,29.3,43.9,49541120,12464354,58136407,1670769823,6
347,41,42,28.7,43.4,8224768,2109295,9733045,1670769642,6
348,196,197,29.0,43.4,43487232,10940804,50988843,1670769797,6
349,246,247,29.8,43.3,53706752,13576374,63063458,1670769847,6
350,142,143,28.3,42.9,29495296,7467149,34714239,1670769743,6
